start_time,end_time,Type,Distance,Direction,Shot
0.00,8.16,stat,0,n,1
8.16,9.92,stat,0,n,2
9.92,11,stat,0,n,3
11,14.04,Dolly,0.5,in,4
14.04,15.16,stat,0,n,5
15.16,18.52,stat,0,n,6
18.52,20.12,stat,0,n,7
20.12,21.52,stat,0,n,8
21.52,23.08,stat,0,n,9
23.08,24.24,stat,0,n,10
24.24,27.56,truck,0.5,left,11
27.56,29.20,stat,0,n,12
29.20,31.44,stat,0,n,13
31.44,33,stat,0,n,14
33,35,Pan,0.3,right,14
35,36.28,stat,0,n,14
36.28,38,stat,0,n,15
38,39.88,stat,0,n,16
39.88,41.92,stat,0,n,17
41.92,44.00,stat,0,n,18
44.00,47.28,Pan,0.3,left,19
